placekey,location_name,lat,lng,id_num
zzw-226@8fw-27k-6hq,Burger King,25.8092,-80.24,0
222-222@8fw-25g-2hq,Burger King,25.8587,-80.2094,1
222-222@8fw-64g-c89,Burger King,25.4849,-80.461,2
zzw-222@8fw-253-9zz,Burger King,25.8471,-80.2415,3
226-222@8fw-5ty-vcq,Burger King,25.6849,-80.3125,4
22m-222@8fw-5tp-7qz,Burger King,25.7502,-80.2429,5
zzw-222@8fw-5fh-47q,Burger King,25.6003,-80.3537,6
zzw-224@8fw-26j-d5f,Burger King,25.8306,-80.2661,7
222-222@8fv-zky-y5f,Burger King,25.926,-80.1617,8
226-222@8fv-zqx-6tv,Burger King,25.9466,-80.2056,9
222-222@8fw-5v9-575,Burger King,25.7328,-80.3514,10
226-222@8fw-37n-nbk,Burger King,26.1368,-80.1615,11
223-222@8fw-267-nnq,Burger King,25.8917,-80.2111,12
223-222@8fv-zn9-qcq,Burger King,25.9864,-80.2065,13
22c-222@8fw-26v-mff,Burger King,25.8668,-80.3009,14
226-222@8fv-zpz-5xq,Burger King,25.9377,-80.2449,15
228-222@8fw-257-ct9,Burger King,25.9256,-80.2772,16
222-222@8fw-5s4-xt9,Burger King,25.7331,-80.3086,17
zzw-223@8fw-27d-8gk,Burger King,25.8251,-80.208,18
226-222@8fw-222-5zz,Burger King,25.7915,-80.1891,19
224-222@8dh-h4t-tvz,Burger King,24.5603,-81.7811,20
222-222@8f4-5vk-8qf,Burger King,30.4342,-87.2758,21
226-222@8fw-27d-swk,Burger King,25.8099,-80.2083,22
223-222@8fv-zp4-bhq,Burger King,26.0323,-80.1431,23
222-222@8fv-zzv-7nq,Burger King,25.8134,-80.1344,24
223-222@8fw-38k-s5z,Burger King,26.1376,-80.1247,25
223-222@8fw-26x-m8v,Burger King,25.8675,-80.2662,26
222-222@8fw-27m-y7q,Burger King,25.795,-80.2175,27
222-222@8fw-37j-gtv,Burger King,26.1667,-80.1467,28
zzw-222@8fw-3b2-rc5,Burger King,26.122,-80.1501,29
225-222@8fw-5tz-6kz,Burger King,25.6474,-80.3322,30
222-222@8gq-4wb-5cq,Burger King,29.187,-82.1061,31
225-222@8fz-rsm-jjv,Burger King,26.6183,-80.0574,32
223-222@8fv-znx-cbk,Burger King,26.0114,-80.153,33
222-222@8fy-y3s-rrk,Burger King,28.3573,-80.6927,34
222-222@8dg-kq4-ct9,Burger King,26.6041,-81.872,35
224-222@8fw-5tq-bp9,Burger King,25.7718,-80.2632,36
zzy-222@8fv-zpg-q75,Burger King,26.0187,-80.2078,37
zzw-225@8fz-s85-g8v,Burger King,26.7237,-80.0531,38
22g-222@8fw-2tj-r8v,Burger King,26.2322,-80.1026,39
223-222@8gq-5sk-fpv,Burger King,29.6667,-82.3247,40
224-222@8fz-rxw-hyv,Burger King,26.707,-80.1056,41
zzw-225@8fv-zkz-hh5,Burger King,25.8887,-80.1638,42
222-222@8fw-26g-2hq,Burger King,25.8083,-80.2894,43
zzw-222@8fw-5sm-wx5,Burger King,25.7781,-80.2888,44
,Burger King,24.7294,-81.0355,45
222-222@8fw-269-gx5,Burger King,25.899,-80.2434,46
222-222@8fw-25g-2hq,Burger King,25.8985,-80.2923,47
223-222@8fv-zn9-qcq,Burger King,26.0249,-80.2427,48
222-222@8fw-322-5pv,Burger King,26.1656,-80.2564,49
226-222@8fw-5td-3kf,Burger King,25.7528,-80.2626,50
zzw-222@8fw-2j5-pn5,Burger King,26.2361,-80.2047,51
225-222@8fv-znh-grk,Burger King,26.0723,-80.2325,52
223-222@8fw-5vd-7kf,Burger King,25.7491,-80.3355,53
222-222@8fv-zp6-33q,Burger King,25.9852,-80.1628,54
226-222@8fw-37n-nbk,Burger King,26.1888,-80.1317,55
222-222@8fw-5h4-8jv,Burger King,25.571,-80.3725,56
222-222@8fw-62s-4vz,Burger King,25.5178,-80.4279,57
224-222@8fw-5tq-bp9,Burger King,25.7629,-80.3061,58
222-222@8fw-2gy-kfz,Burger King,26.2724,-80.266,59
224-222@8fz-rvv-2tv,Burger King,26.6218,-80.0887,60
